placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
zzz-222@5pw-2nt-yn5,sg:06bcb4234ebc45628c7d0c7d2ab9c5f4,,,Northeast Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.819604,-87.892085,Unknown,Western Springs,IL,60558,US,NA,,,,NA,,2019-07
zzz-222@5pv-h77-xt9,sg:4ab080622647493891ef1946f52f5624,,,Spring Lake,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.476178,-89.849172,Spring Lake,East Peoria,IL,61611,US,NA,,,,NA,,2019-07
zzz-222@5sb-8dg-fpv,sg:cf14c8e59aba4b99bf8483c809e8f6d6,,,Elder Lane Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.932327,-87.873093,2932 Elder Ln,Franklin Park,IL,60131,US,NA,,,,NA,,2019-07
zzz-222@5sb-c3g-q9f,sg:d3c427a842bf46d88023249785dea508,,,Sequoit Creek Forest Preserve,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.460849,-88.078162,Sequoit Creek Forest Preserve,Antioch,IL,60002,US,NA,,,,NA,,2019-07
zzz-222@5pw-6fm-fxq,sg:22747c7718ae49f781a941b50a6e3544,,,Park No 571,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.843269,-87.663132,2754 S Eleanor St # 2860,Chicago,IL,60608,US,17738239135,,,,NA,,2019-07
zzz-222@5pw-2k7-yqf,sg:40686af05cc644dd850a40c71c341a18,,,Ulrich Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.758471,-87.808244,7300 S Ferdinand Ave,Bridgeview,IL,60455,US,NA,,,,NA,,2019-07
zzz-222@5pv-hy3-gkz,sg:5033e53472584445a25b27016c2c46cd,,,Edward R Madigan State Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.113466,-89.392315,Edward R Madigan State Park,Lincoln,IL,62656,US,NA,,,,NA,,2019-07
zzz-222@5sb-77z-yd9,sg:7f5fd912d8094d80bfceb8ef4b840062,,,Woods Creek Riparian Corridor,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.171804,-88.348055,Bunker Hill Dr Woods Creek Ln,Algonquin,IL,60102,US,NA,,,,NA,,2019-07
zzy-222@5sb-t4k-b6k,sg:ab43a0212ab246288c40f7a395baee02,,,Hennepin Feeder Canal State Parkway,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.786569,-89.677509,E 2nd St,Rock Falls,IL,61071,US,NA,,,,NA,,2019-07
zzz-222@5sb-7vc-975,sg:efd8c9441f1b4c21a16a2387389bda56,,,Meadows Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.021861,-88.153118,100 Belle Ln,Streamwood,IL,60107,US,NA,,,,NA,,2019-07
